"module name","license","repository"
"@apollo/client@3.3.6","MIT","https://github.com/apollographql/apollo-client"
"@apollo/react-testing@4.0.0","MIT","https://github.com/apollographql/react-apollo"
"@babel/core@7.12.10","MIT","https://github.com/babel/babel"
"@babel/plugin-transform-flow-strip-types@7.12.10","MIT","https://github.com/babel/babel"
"@babel/types@7.12.12","MIT","https://github.com/babel/babel"
"@chakra-ui/react@1.1.0","MIT","https://github.com/chakra-ui/chakra-ui"
"@emotion/babel-plugin@11.1.2","MIT","https://github.com/emotion-js/emotion/tree/master/packages/babel-plugin"
"@emotion/babel-preset-css-prop@11.0.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/babel-preset-css-prop"
"@emotion/react@11.1.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/react"
"@emotion/styled@11.0.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/styled"
"@endemolshinegroup/cosmiconfig-typescript-loader@3.0.2","MIT","https://github.com/EndemolShineGroup/cosmiconfig-typescript-loader"
"@graphql-codegen/cli@1.20.0","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typescript-operations@1.17.13","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typescript-react-apollo@2.2.1","MIT","https://github.com/dotansimha/graphql-code-generator"
"@graphql-codegen/typescript@1.19.0","MIT","https://github.com/dotansimha/graphql-code-generator"
"@jest/types@26.6.2","MIT","https://github.com/facebook/jest"
"@next/bundle-analyzer@10.0.4","MIT","https://github.com/vercel/next.js"
"@pm2/io@4.3.5","Apache*","https://github.com/keymetrics/pm2-io-apm"
"@popperjs/core@2.6.0","MIT","https://github.com/popperjs/popper-core"
"@sendgrid/mail@7.4.0","MIT","https://github.com/sendgrid/sendgrid-nodejs"
"@testing-library/jest-dom@5.11.6","MIT","https://github.com/testing-library/jest-dom"
"@testing-library/react@11.2.2","MIT","https://github.com/testing-library/react-testing-library"
"@types/aria-query@4.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__core@7.1.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__generator@7.6.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__template@7.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/babel__traverse@7.11.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/classnames@2.2.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.34","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/crypto-js@4.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/csvtojson@1.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-color@1.4.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-interpolate@1.4.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-path@1.0.9","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-scale@3.2.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-shape@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/d3-time@2.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/file-saver@2.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/glob@7.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graceful-fs@4.1.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/graphql-type-json@0.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-proxy-agent@2.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-proxy-middleware@0.19.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-proxy@1.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-coverage@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-lib-report@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/istanbul-reports@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jest@26.0.19","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/js-cookie@2.2.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/js-yaml@3.12.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-stable-stringify@1.0.32","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-stringify-safe@5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json2csv@5.0.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@8.5.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jss@9.5.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash.mergewith@4.6.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/lodash@4.14.166","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/markdown-to-jsx@6.11.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/minimatch@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mock-knex@0.4.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/ms@0.7.31","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-fetch@2.5.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@14.14.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/normalize-package-data@2.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/nprogress@0.2.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/object-assign@4.0.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/parse-json@4.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pg-types@1.11.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/pg@7.14.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
